cidade,ano,mes,dia,data,volume,data_importacao
Porangatu,2024,2,22,2024-02-22 00:00:00,0.2,2024/11/29
Porangatu,2024,2,23,2024-02-23 00:00:00,6.8,2024/11/29
Porangatu,2024,2,24,2024-02-24 00:00:00,0.0,2024/11/29
Porangatu,2024,2,25,2024-02-25 00:00:00,0.0,2024/11/29
Porangatu,2024,2,26,2024-02-26 00:00:00,0.0,2024/11/29
Porangatu,2024,2,27,2024-02-27 00:00:00,0.0,2024/11/29
Porangatu,2024,2,28,2024-02-28 00:00:00,0.0,2024/11/29
Porangatu,2024,2,29,2024-02-29 00:00:00,25.8,2024/11/29
Porangatu,2024,3,1,2024-03-01 00:00:00,0.0,2024/11/29
Porangatu,2024,3,2,2024-03-02 00:00:00,0.0,2024/11/29
Porangatu,2024,3,3,2024-03-03 00:00:00,11.4,2024/11/29
Porangatu,2024,3,4,2024-03-04 00:00:00,1.6,2024/11/29
Porangatu,2024,3,5,2024-03-05 00:00:00,2.4,2024/11/29
Porangatu,2024,3,6,2024-03-06 00:00:00,0.0,2024/11/29
Porangatu,2024,3,7,2024-03-07 00:00:00,0.0,2024/11/29
Porangatu,2024,3,8,2024-03-08 00:00:00,0.0,2024/11/29
Porangatu,2024,3,9,2024-03-09 00:00:00,1.0,2024/11/29
Porangatu,2024,3,10,2024-03-10 00:00:00,0.0,2024/11/29
Porangatu,2024,3,11,2024-03-11 00:00:00,0.0,2024/11/29
Porangatu,2024,3,12,2024-03-12 00:00:00,0.0,2024/11/29
Porangatu,2024,3,13,2024-03-13 00:00:00,0.4,2024/11/29
Porangatu,2024,3,14,2024-03-14 00:00:00,0.0,2024/11/29
Porangatu,2024,3,15,2024-03-15 00:00:00,0.6000000000000001,2024/11/29
Porangatu,2024,3,16,2024-03-16 00:00:00,3.6,2024/11/29
Porangatu,2024,3,17,2024-03-17 00:00:00,0.0,2024/11/29
Porangatu,2024,3,18,2024-03-18 00:00:00,0.0,2024/11/29
Porangatu,2024,3,19,2024-03-19 00:00:00,0.0,2024/11/29
Porangatu,2024,3,20,2024-03-20 00:00:00,9.6,2024/11/29
Porangatu,2024,3,21,2024-03-21 00:00:00,0.2,2024/11/29
Porangatu,2024,3,22,2024-03-22 00:00:00,0.0,2024/11/29
Porangatu,2024,3,23,2024-03-23 00:00:00,0.0,2024/11/29
Porangatu,2024,3,24,2024-03-24 00:00:00,1.0,2024/11/29
Porangatu,2024,3,25,2024-03-25 00:00:00,18.6,2024/11/29
Porangatu,2024,3,26,2024-03-26 00:00:00,10.4,2024/11/29
Porangatu,2024,3,27,2024-03-27 00:00:00,7.0,2024/11/29
Porangatu,2024,3,28,2024-03-28 00:00:00,0.2,2024/11/29
Porangatu,2024,3,29,2024-03-29 00:00:00,0.0,2024/11/29
Porangatu,2024,3,30,2024-03-30 00:00:00,33.6,2024/11/29
Porangatu,2024,3,31,2024-03-31 00:00:00,0.0,2024/11/29
